"year","player_id","total_points","total_won"
2000,103484,452,189
2000,103487,673,324
2000,103498,14625,7561
2000,103507,10849,5499
2000,103566,2058,1018
2000,103598,2072,1042
2000,103602,1867,948
2000,103632,NA,NA
2000,103694,2269,1160
2000,103709,451,207
2000,103714,6948,3549
2000,103720,10720,5681
2000,103735,259,119
2000,103758,1320,624
2000,103781,574,271
2000,103786,612,314
2000,103799,213,97
2000,103813,NA,NA
2000,103819,9531,4801
2000,103821,NA,NA
2000,103852,95,36
2000,103888,1169,538
2000,103894,486,205
2000,103900,302,134
2000,103908,608,302
2000,103909,1295,640
2000,103917,371,170
2000,103990,232,95
2000,104014,250,124
2000,104022,2047,995
2000,104026,202,89
2000,104053,1257,610
2000,104117,NA,NA
2000,104180,NA,NA
2000,104339,NA,NA
2000,200003,NA,NA
2000,200008,NA,NA
2000,200009,NA,NA
2000,200011,NA,NA
2000,200033,NA,NA
2000,200043,NA,NA
2000,200056,NA,NA
2000,200060,NA,NA
2000,200067,NA,NA
2000,200069,NA,NA
2000,200079,NA,NA
2000,200104,NA,NA
2000,200108,NA,NA
2000,200120,NA,NA
2000,200121,NA,NA
2000,200748,NA,NA
2000,200754,NA,NA
2000,200764,NA,NA
2000,200770,NA,NA
2000,200772,NA,NA
2000,200773,NA,NA
2000,201086,NA,NA
2000,201212,NA,NA
2000,201284,NA,NA
2000,201286,NA,NA
2000,201290,NA,NA
2000,201291,NA,NA
2000,201292,NA,NA
2000,201293,NA,NA
2000,201300,NA,NA
2000,201305,NA,NA
2000,201309,NA,NA
2000,201310,NA,NA
2000,201328,NA,NA
2000,201329,NA,NA
2000,201352,NA,NA
2000,201354,NA,NA
2000,201363,NA,NA
2000,201370,NA,NA
2000,201377,NA,NA
2000,201383,NA,NA
2000,201387,NA,NA
2000,201419,NA,NA
2000,201446,NA,NA
2000,201466,NA,NA
2001,101736,9904,5314
2001,101868,115,49
2001,101885,7198,3597
2001,101889,1917,945
2001,101962,9624,4890
2001,101965,6061,2967
2001,102035,7498,3744
2001,102106,6126,2916
2001,102110,1495,756
2001,102143,1105,541
2001,102148,9690,4866
2001,102179,5349,2625
2001,102202,2798,1416
2001,102227,5590,2765
2001,102231,7569,3710
2001,102233,597,277
2001,102257,9727,5090
2001,102269,407,191
2001,102271,8352,4179
2001,102286,2401,1175
2001,102287,9625,4869
2001,102300,320,150
2001,102306,339,158
2001,102318,9129,4691
2001,102344,4359,2196
2001,102358,9655,4935
2001,102374,9012,4598
2001,102381,717,348
2001,102382,647,297
2001,102401,1625,790
2001,102405,313,143
2001,102434,573,268
2001,102450,12305,6528
2001,102456,7356,3698
2001,102494,1941,947
2001,102497,148,69
2001,102538,311,141
2001,102539,9507,4763
2001,102548,1763,872
2001,102558,344,150
2001,102562,7492,3875
