"player_id","year","bp","bp_converted"
103252,"2004",338,140
103252,"2009",154,57
103252,"2010",47,24
103252,"2000",NA,NA
103252,"2008",55,17
103252,"2005",380,146
103252,"2003",163,82
103252,"2006",289,122
103252,"1996",26,11
103252,"1997",85,47
103252,"2002",267,117
103254,"2004",0,0
103254,"2005",3,0
103254,"2002",22,11
103254,"2003",15,3
103254,"2008",NA,NA
103254,"2007",4,2
103254,"2001",12,7
103264,"1998",219,99
103264,"2001",57,18
103264,"2003",93,33
103264,"2000",100,21
103264,"1999",NA,NA
103264,"1997",8,5
103264,"2005",NA,NA
103264,"2004",0,0
103264,"2002",46,18
103280,"2000",8,2
103280,"2004",NA,NA
103280,"2002",NA,NA
103280,"2001",8,3
103280,"1998",8,3
103280,"2007",26,6
103280,"2008",14,5
103280,"2003",NA,NA
103285,"2007",NA,NA
103285,"2005",520,202
103285,"2004",NA,NA
103285,"2015",106,43
103285,"2017",35,13
103285,"2009",NA,NA
103285,"2001",12,6
103285,"1998",5,1
103285,"1999",39,16
103285,"2014",NA,NA
103285,"2012",NA,NA
103285,"2016",93,43
103285,"2010",NA,NA
103285,"2011",139,31
103285,"2008",NA,NA
103285,"2006",317,138
103285,"2003",238,103
103285,"2013",NA,NA
103285,"2002",192,75
103290,"2001",2,0
103290,"2005",7,3
103292,"2009",43,18
103292,"1999",98,40
103292,"2003",NA,NA
103292,"2002",NA,NA
103292,"2000",253,126
103292,"2008",5,2
103292,"2004",566,249
103292,"2001",196,54
103292,"2007",67,26
103292,"2006",285,132
103292,"2010",6,1
103292,"2005",164,49
103294,"2006",244,97
103294,"2000",NA,NA
103294,"2007",44,9
103294,"2003",NA,NA
103294,"2010",NA,NA
103294,"2004",105,33
103294,"2005",175,93
103294,"2002",233,93
103294,"2008",72,23
103294,"1999",13,5
103294,"2009",NA,NA
103294,"2001",152,74
103305,"2004",54,20
103305,"2002",10,5
103305,"1997",11,5
103305,"2000",49,21
103305,"2005",12,6
103305,"2001",59,21
103318,"1997",2,1
103318,"2002",113,40
103318,"2004",12,7
103318,"1999",NA,NA
103318,"2005",9,6
103318,"2003",89,30
103318,"1998",NA,NA
103319,"2006",36,19
103319,"2003",78,29
103319,"2000",1,0
103319,"2005",19,7
103319,"1999",9,3
103319,"2002",93,33
103319,"2001",6,3
103319,"2004",123,50
103333,"2016",187,55
103333,"2005",63,23
103333,"2007",71,15
103333,"2009",NA,NA
103333,"2015",279,87
103333,"2001",6,3
103333,"2014",220,69
103333,"2008",NA,NA
103333,"2017",110,32
103333,"2018",124,37
103333,"2003",82,26
103333,"2019",51,13
103333,"2021",27,8
103333,"2011",83,32
103333,"2012",NA,NA
103333,"2002",NA,NA
103333,"2006",74,24
103333,"2000",NA,NA
103333,"2013",99,29
103333,"2020",22,4
