"player_id","year","second_return","second_won"
102845,"1997",NA,NA
102845,"2007",686,261
102845,"2002",626,237
102845,"1998",NA,NA
102845,"2006",879,397
102845,"1999",NA,NA
102845,"1996",804,343
102845,"2003",NA,NA
102851,"2003",197,68
102851,"2002",30,17
102851,"2001",28,13
102851,"2006",41,20
102851,"1994",54,28
102851,"2000",31,12
102851,"1998",116,47
102851,"2004",NA,NA
102851,"2005",87,37
102860,"2000",NA,NA
102860,"2009",287,102
102860,"2008",NA,NA
102860,"2007",1477,672
102860,"2005",513,218
102860,"2001",519,222
102860,"2004",NA,NA
102860,"2006",NA,NA
102860,"1999",178,91
102860,"2003",NA,NA
102860,"2002",671,323
102863,"2009",25,8
102863,"2007",NA,NA
102863,"2008",22,6
102863,"1996",18,6
102863,"2006",119,42
102863,"2002",NA,NA
102863,"2000",60,23
102863,"2001",NA,NA
102863,"2003",NA,NA
102863,"1998",NA,NA
102863,"1995",38,14
102863,"2005",NA,NA
102863,"2004",NA,NA
102863,"1999",332,137
102863,"1997",19,12
102864,"2003",38,13
102864,"2006",18,6
102869,"2001",1324,584
102869,"2004",557,221
102869,"1995",171,84
102869,"2002",629,275
102869,"2000",889,384
102869,"2006",56,25
102869,"2003",509,238
102869,"1999",888,401
102869,"1994",34,13
102869,"2005",74,38
102869,"1997",1009,452
102869,"1996",474,183
102869,"1998",1269,571
102880,"1999",25,11
102880,"2005",568,205
102880,"2000",607,251
102880,"2003",539,226
102880,"2001",356,162
102880,"2004",675,302
102880,"2002",525,231
102881,"1997",90,32
102881,"1994",42,25
102881,"2007",5,1
102881,"2008",26,6
102881,"1995",66,32
102881,"1993",43,20
102881,"2006",10,4
102881,"1996",95,41
102885,"2006",14,7
102886,"2006",43,16
102886,"2005",121,57
102886,"2001",10,3
102886,"2003",317,143
102886,"2012",NA,NA
102886,"2004",88,43
102886,"2010",41,15
102887,"1995",NA,NA
102887,"1999",328,154
102887,"1994",NA,NA
102887,"2007",NA,NA
102887,"2000",128,69
102887,"2005",105,54
102887,"1997",NA,NA
102887,"2002",NA,NA
102887,"2006",229,93
102887,"1998",656,263
102887,"2001",187,71
102887,"2009",17,6
102887,"2003",183,70
102887,"2008",NA,NA
102887,"2004",NA,NA
102887,"2010",54,18
102887,"1996",NA,NA
102904,"2000",98,46
102904,"2006",104,60
102904,"2001",73,33
102925,"2003",642,274
102925,"1996",306,132
102925,"1999",1194,488
102925,"1998",379,183
102925,"2001",422,162
102925,"2000",977,399
102925,"2005",527,209
102925,"1995",97,47
102925,"2006",869,345
102925,"2002",338,150
102925,"1997",1217,544
102925,"2004",157,62
102925,"2007",317,118
102945,"2007",28,11
102945,"2005",18,8
102950,"2007",95,30
102950,"2005",240,111
102950,"2006",585,261
102950,"1997",321,157
102950,"2003",1220,521
