"player_id","year","returns","returns_won"
103693,"2009",275,80
103693,"2007",549,186
103693,"2005",430,156
103693,"2002",NA,NA
103693,"2004",NA,NA
103700,"2002",NA,NA
103700,"2004",287,114
103700,"2007",NA,NA
103700,"2006",413,156
103700,"2005",222,78
103701,"2008",628,254
103701,"2007",NA,NA
103701,"2006",420,149
103702,"2006",91,28
103722,"2011",1045,327
103722,"2010",3730,1361
103722,"2004",476,208
103722,"2009",4036,1457
103722,"2003",NA,NA
103722,"2014",NA,NA
103722,"2006",3797,1437
103722,"2005",1685,684
103722,"2007",NA,NA
103722,"2013",NA,NA
103722,"2002",NA,NA
103722,"2012",1010,343
103722,"2008",3273,1229
103737,"2005",343,130
103737,"2006",898,339
103737,"2002",NA,NA
103737,"2003",131,46
103747,"2009",NA,NA
103747,"2011",NA,NA
103747,"2008",240,90
103747,"2006",63,13
103747,"2007",349,129
103747,"2010",149,52
103761,"2004",141,45
103761,"2007",209,75
103761,"2008",NA,NA
103761,"2006",NA,NA
103761,"2005",239,83
103763,"2008",270,103
103794,"2007",NA,NA
103794,"2006",1602,548
103794,"2011",941,295
103794,"2008",2106,694
103794,"2015",NA,NA
103794,"2010",NA,NA
103794,"2016",1942,682
103794,"2014",3827,1357
103794,"2012",1879,669
103794,"2013",2375,794
103794,"2017",NA,NA
103794,"2009",2256,727
103823,"2006",1368,538
103823,"2009",764,259
103823,"2008",NA,NA
103823,"2012",93,33
103823,"2011",975,321
103823,"2002",NA,NA
103823,"2007",NA,NA
103823,"2005",298,113
103850,"2008",354,116
103850,"2009",191,74
103850,"2011",NA,NA
103868,"2008",1485,498
103868,"2006",634,204
103868,"2007",NA,NA
103868,"2011",196,61
103868,"2010",615,178
103868,"2004",NA,NA
103868,"2005",335,130
103868,"2009",2363,768
103868,"2012",126,46
103893,"2014",1776,697
103893,"2017",NA,NA
103893,"2011",332,123
103893,"2010",NA,NA
103893,"2016",3955,1495
103893,"2015",NA,NA
103893,"2007",143,51
103893,"2012",2059,740
103893,"2013",NA,NA
103893,"2019",1531,494
103893,"2006",NA,NA
103893,"2009",NA,NA
103893,"2021",NA,NA
103893,"2018",1775,597
103893,"2020",345,117
103898,"2004",2234,843
103898,"2018",1840,668
103898,"2006",3817,1441
103898,"2014",NA,NA
103898,"2009",4312,1597
103898,"2002",NA,NA
103898,"2013",NA,NA
103898,"2001",135,62
103898,"2016",1776,629
103898,"2008",NA,NA
103898,"2015",372,105
103898,"2017",2051,732
103898,"2005",1450,519
103898,"2003",721,263
103898,"2011",3251,1176
103898,"2012",NA,NA
103898,"2010",NA,NA
103898,"2007",3842,1430
103917,"2019",734,249
103917,"2006",2186,716
103917,"2010",1178,327
103917,"2011",NA,NA
103917,"2016",3290,1165
103917,"2017",2688,918
103917,"2003",787,276
103917,"2018",1104,369
103917,"2021",NA,NA
103917,"2009",588,200
103917,"2012",2805,962
103917,"2007",3399,1177
103917,"2001",464,150
103917,"2015",NA,NA
103917,"2002",NA,NA
103917,"2005",398,114
103917,"2000",NA,NA
103917,"2008",3239,1044
103917,"2013",1905,700
103917,"2004",NA,NA
103917,"2014",2673,926
104023,"2011",135,47
104025,"2006",465,157
104025,"2008",1212,410
104025,"2012",NA,NA
104025,"2005",389,134
104025,"2004",467,153
104025,"2009",876,263
104025,"2011",NA,NA
104025,"2010",NA,NA
104025,"2003",417,121
104025,"2007",2547,810
104035,"2010",NA,NA
104035,"2012",796,273
104035,"2005",1121,380
104035,"2008",2788,964
104035,"2006",890,288
104035,"2011",NA,NA
104035,"2013",515,162
104035,"2004",NA,NA
104035,"2007",NA,NA
104035,"2009",1168,376
104035,"2003",NA,NA
104043,"2016",NA,NA
104043,"2010",NA,NA
104043,"2008",246,93
104043,"2005",421,166
104043,"2007",NA,NA
104043,"2001",504,211
104043,"2013",NA,NA
104043,"2014",NA,NA
104043,"2003",492,180
104043,"2004",1458,586
104043,"2002",270,103
104068,"2003",NA,NA
104068,"2002",1274,463
104068,"2011",511,179
104068,"2005",4562,1740
104068,"2010",2027,700
104068,"2006",NA,NA
104068,"2008",NA,NA
104068,"2007",2637,989
104068,"2013",232,82
104068,"2009",2774,1012
104068,"2014",761,254
104068,"2001",642,233
104068,"2004",NA,NA
