"","player_id","year","bp","bp_converted"
"863",102538,"2004",NA,NA
"868",102539,"2000",99,28
"871",102539,"2005",16,4
"876",102539,"2004",101,44
"881",102539,"1998",NA,NA
"882",102539,"2003",29,16
"883",102539,"2004",62,20
"888",102539,"1993",3,1
"892",102548,"1996",6,1
"894",102548,"1997",76,24
"897",102548,"2003",12,5
"900",102548,"2002",34,19
"901",102548,"2003",7,3
"906",102548,"1998",127,42
"910",102556,"2002",NA,NA
"913",102556,"1998",NA,NA
"914",102556,"1995",NA,NA
"919",102556,"2001",NA,NA
"920",102558,"2007",NA,NA
"922",102558,"2004",11,1
"925",102558,"2003",33,7
"927",102558,"2005",14,2
"930",102558,"2008",NA,NA
"932",102558,"2003",20,12
"934",102562,"1993",17,7
"939",102562,"1998",NA,NA
"942",102562,"1998",207,90
"945",102562,"2005",NA,NA
"946",102562,"2001",NA,NA
"947",102562,"1999",NA,NA
"949",102562,"2000",NA,NA
"952",102563,"2006",NA,NA
"953",102563,"1993",5,1
"955",102563,"1996",102,33
"957",102563,"2000",NA,NA
"958",102563,"1994",20,11
"964",102563,"2004",200,93
"969",102563,"1997",298,127
"971",102563,"2002",NA,NA
"978",102565,"2005",35,8
"979",102565,"2007",22,9
"981",102565,"2004",12,4
"985",102567,"2006",NA,NA
"988",102567,"1996",3,1
"989",102567,"2006",35,16
"991",102567,"2001",NA,NA
"994",102567,"2007",14,5
"995",102567,"1999",31,12
"999",102567,"2002",34,10
"1000",102567,"1999",NA,NA
"1003",102567,"2002",47,12
"1012",102571,"2002",18,8
"1014",102571,"2006",7,1
"1015",102571,"2003",107,50
"1021",102585,"1998",1,1
"1022",102585,"2000",15,5
"1030",102610,"1996",NA,NA
"1031",102610,"2004",150,55
"1037",102610,"2005",102,48
"1038",102610,"2001",NA,NA
"1041",102610,"2006",13,4
"1042",102610,"1993",18,7
"1045",102610,"2006",31,10
"1048",102610,"1995",137,44
"1052",102610,"1997",NA,NA
"1055",102615,"1999",8,5
"1059",102615,"1992",11,4
"1063",102615,"1996",13,2
"1064",102615,"2004",55,23
"1074",102615,"1997",NA,NA
"1078",102630,"2006",NA,NA
"1080",102630,"2007",NA,NA
"1087",102642,"2000",47,11
"1092",102642,"2003",70,25
"1097",102642,"2007",2,0
"1108",102655,"2000",NA,NA
"1125",102667,"2006",14,8
"1127",102667,"2001",2,1
"1133",102694,"2006",42,13
"1140",102694,"1997",10,3
"1145",102694,"1997",15,11
"1147",102694,"1996",46,22
"1149",102694,"1999",47,20
"1157",102703,"2001",NA,NA
"1159",102703,"1999",NA,NA
"1160",102703,"2004",NA,NA
"1167",102703,"2007",NA,NA
"1170",102703,"2006",NA,NA
"1175",102703,"2007",127,25
"1177",102720,"2003",26,6
"1180",102720,"1998",0,0
"1197",102730,"2003",25,12
"1199",102730,"1999",NA,NA
"1210",102730,"2005",18,5
"1212",102737,"2004",NA,NA
"1220",102740,"1998",NA,NA
"1221",102740,"2003",NA,NA
"1222",102740,"2004",NA,NA
"1230",102770,"1998",114,60
"1232",102770,"1999",106,40
"1242",102770,"2001",NA,NA
"1243",102780,"2009",NA,NA
"1244",102780,"2002",NA,NA
"1245",102780,"2003",NA,NA
"1246",102780,"2004",11,6
"1247",102780,"1999",NA,NA
"1248",102780,"2004",NA,NA
"1249",102780,"1997",4,2
"1250",102780,"2000",3,0
"1251",102780,"2001",NA,NA
"1252",102780,"2002",3,0
"1253",102780,"2008",NA,NA
"1254",102780,"2005",NA,NA
"1255",102780,"2003",7,1
"1256",102780,"2007",NA,NA
"1257",102780,"2009",5,4
"1258",102780,"2000",NA,NA
"1259",102780,"1998",0,0
"1260",102783,"2003",NA,NA
"1261",102783,"2011",62,20
"1262",102783,"2004",NA,NA
"1263",102783,"2007",76,33
