"","player_id","year","second_won","second_serve"
"1759",102950,"1996",41,63
"1760",102950,"1997",NA,NA
"1761",102950,"1997",130,284
"1762",102950,"2001",387,816
"1763",102950,"2002",453,897
"1764",102950,"1999",405,679
"1765",102950,"1998",295,556
"1766",102956,"2000",18,33
"1767",102956,"2004",8,19
"1768",102956,"1998",NA,NA
"1769",102956,"1996",8,18
"1770",102956,"2002",4,17
"1771",102956,"1995",NA,NA
"1772",102956,"1998",0,0
"1773",102956,"2007",15,33
"1774",102956,"2006",6,21
"1776",102956,"2001",10,20
"1777",102959,"2002",NA,NA
"1778",102959,"2008",NA,NA
"1779",102959,"2004",NA,NA
"1780",102959,"1999",NA,NA
"1781",102959,"2005",NA,NA
"1783",102959,"2003",NA,NA
"1784",102959,"1998",NA,NA
"1785",102959,"2001",NA,NA
"1786",102959,"2007",NA,NA
"1787",102959,"2000",NA,NA
"1788",102963,"2011",NA,NA
"1789",102963,"1999",6,15
"1790",102963,"2007",NA,NA
"1791",102965,"1999",29,86
"1793",102965,"1999",16,29
"1794",102965,"2001",61,98
"1796",102965,"2000",76,142
"1797",102965,"2005",11,21
"1798",102965,"2006",NA,NA
"1799",102965,"2004",30,42
"1800",102965,"2003",48,88
"1801",102965,"2005",48,92
"1803",102965,"2000",NA,NA
"1804",102965,"2002",NA,NA
"1805",102965,"2001",122,243
"1806",102967,"2006",307,539
"1807",102967,"2004",18,30
"1808",102967,"2010",191,394
"1809",102967,"2012",16,30
"1810",102967,"2006",228,476
"1811",102967,"2014",19,31
"1813",102967,"2010",88,136
"1814",102967,"2009",371,599
"1815",102967,"2004",37,67
"1816",102967,"2002",17,37
"1817",102967,"2007",374,778
"1818",102967,"2005",21,51
"1819",102967,"2007",367,610
"1821",102967,"2005",29,51
"1822",102967,"2008",341,732
"1824",102967,"2011",66,115
"1831",102969,"2005",NA,NA
"1837",102987,"2007",19,34
"1842",102987,"1997",NA,NA
"1843",102987,"1997",15,30
"1845",102987,"1999",67,134
"1852",102987,"2000",191,333
"1872",102998,"2001",NA,NA
"1873",102999,"2003",30,49
"1874",102999,"2010",16,35
"1876",102999,"2003",25,47
"1879",102999,"2008",15,21
"1885",102999,"2001",10,11
"1892",103007,"1999",15,24
"1893",103007,"2002",23,42
"1897",103007,"2003",11,28
"1898",103007,"2001",NA,NA
"1899",103007,"2004",NA,NA
"1901",103009,"2000",9,18
"1902",103009,"1997",11,14
"1904",103009,"1993",NA,NA
"1905",103009,"2003",NA,NA
"1906",103009,"1998",19,29
"1907",103009,"2005",86,150
"1908",103009,"2002",8,21
"1909",103009,"1995",17,27
"1910",103009,"1997",83,147
"1911",103009,"2006",41,72
"1912",103009,"2000",NA,NA
"1913",103009,"2005",125,241
"1914",103009,"1999",5,18
"1915",103009,"1995",NA,NA
"1916",103009,"2006",NA,NA
"1917",103009,"1996",13,22
"1918",103009,"1996",20,40
"1919",103009,"1994",NA,NA
"1920",103017,"2000",589,989
"1921",103017,"2004",NA,NA
"1922",103017,"2007",306,502
"1923",103017,"2001",NA,NA
"1924",103017,"2002",NA,NA
"1925",103017,"1999",NA,NA
"1926",103017,"2010",56,97
"1927",103017,"2009",260,528
"1928",103017,"1997",533,910
"1929",103017,"2005",NA,NA
"1930",103017,"2003",266,517
"1931",103017,"2010",17,33
"1932",103017,"1994",0,0
"1933",103017,"2009",NA,NA
"1934",103017,"2003",351,598
"1935",103017,"2000",NA,NA
"1936",103017,"2007",NA,NA
"1937",103017,"1998",NA,NA
"1938",103017,"1995",49,96
"1939",103017,"2008",NA,NA
"1940",103017,"1996",NA,NA
"1941",103017,"1995",33,54
"1942",103017,"1997",212,474
"1943",103017,"2006",NA,NA
"1944",103018,"1998",NA,NA
"1945",103018,"2000",NA,NA
"1946",103018,"1999",NA,NA
"1947",103018,"1995",NA,NA
"1948",103018,"2007",169,300
"1949",103018,"2004",NA,NA
"1950",103018,"2005",NA,NA
"1951",103018,"1997",NA,NA
"1952",103018,"2002",NA,NA
"1953",103018,"1998",31,55
"1954",103018,"2008",NA,NA
"1955",103018,"2003",NA,NA
"1956",103018,"2001",NA,NA
"1957",103018,"1997",46,77
"1958",103018,"2006",NA,NA
"1959",103018,"2008",21,33
"1960",103018,"1996",NA,NA
"1961",103018,"2007",NA,NA
"1963",103029,"1995",14,20
"1964",103029,"1994",NA,NA
"1965",103029,"2001",2,10
"1966",103029,"2005",NA,NA
"1967",103029,"2000",14,28
"1968",103029,"1996",NA,NA
"1969",103029,"1998",NA,NA
"1970",103029,"2006",NA,NA
"1972",103029,"2003",14,25
"1973",103029,"2004",NA,NA
"1974",103032,"2005",11,24
"1975",103032,"2005",26,46
"1976",103035,"2005",75,150
"1977",103035,"2005",54,97
"1978",103035,"2010",14,25
"1979",103035,"2006",185,409
"1980",103035,"2010",23,44
"1981",103035,"2004",NA,NA
"1982",103035,"2007",NA,NA
"1983",103035,"2004",55,122
"1984",103035,"2006",135,259
"1986",103035,"2007",90,149
"1987",103043,"2011",NA,NA
"1988",103050,"1998",NA,NA
"1989",103050,"2001",NA,NA
"1991",103050,"2005",NA,NA
"1992",103050,"2007",NA,NA
"1993",103050,"2004",NA,NA
"1994",103053,"2006",NA,NA
"1995",103053,"2002",NA,NA
"1996",103053,"2001",NA,NA
"1998",103053,"2003",NA,NA
"1999",103053,"2005",NA,NA
"2000",103053,"2000",NA,NA
"2001",103053,"1998",6,14
"2002",103060,"1994",NA,NA
"2003",103060,"1999",NA,NA
"2005",103060,"1995",0,0
"2006",103060,"1995",38,77
"2007",103060,"2000",NA,NA
"2008",103060,"1998",NA,NA
"2009",103060,"1997",29,50
"2010",103060,"2002",NA,NA
"2011",103060,"2001",10,15
"2012",103060,"2005",NA,NA
"2013",103060,"2001",NA,NA
"2014",103060,"1996",NA,NA
"2015",103060,"2004",7,19
"2018",103063,"2005",89,165
"2019",103063,"2002",31,55
"2020",103063,"2002",36,73
"2022",103063,"2007",32,67
"2023",103063,"2004",75,140
"2024",103063,"2001",18,36
"2025",103063,"2006",14,27
"2026",103063,"2005",NA,NA
"2027",103063,"2004",70,117
"2028",103063,"2008",23,40
