"","player_id","year","first_return","first_won"
"1410",102834,"2007",546,145
"1411",102834,"1995",50,14
"1412",102834,"2002",120,37
"1413",102834,"2001",360,88
"1414",102834,"1993",69,16
"1415",102834,"1999",796,222
"1416",102834,"1994",NA,NA
"1417",102834,"1998",84,33
"1418",102834,"2003",158,72
"1419",102834,"2004",240,58
"1420",102834,"2002",71,15
"1421",102834,"2000",842,299
"1422",102834,"2003",203,54
"1423",102834,"2000",981,248
"1428",102839,"1994",NA,NA
"1430",102839,"2006",623,228
"1431",102839,"2005",NA,NA
"1432",102839,"2007",516,174
"1438",102839,"1995",NA,NA
"1445",102839,"2009",833,234
"1450",102843,"2002",NA,NA
"1454",102843,"2006",NA,NA
"1462",102845,"1999",NA,NA
"1482",102845,"1998",NA,NA
"1484",102845,"2002",1141,295
"1500",102851,"2000",42,14
"1501",102854,"2001",NA,NA
"1503",102854,"2005",411,110
"1504",102854,"1995",777,261
"1508",102854,"2005",NA,NA
"1510",102854,"1996",NA,NA
"1514",102854,"2003",NA,NA
"1516",102854,"1997",NA,NA
"1517",102854,"2002",NA,NA
"1518",102856,"1997",NA,NA
"1523",102856,"1998",NA,NA
"1524",102856,"2007",59,23
"1527",102856,"2006",54,15
"1530",102856,"2004",NA,NA
"1537",102860,"2006",NA,NA
"1544",102860,"2000",NA,NA
"1547",102860,"2001",NA,NA
"1550",102860,"2003",NA,NA
"1552",102863,"2008",46,12
"1553",102863,"2005",NA,NA
"1558",102863,"2006",60,8
"1559",102863,"2000",36,13
"1562",102863,"1999",569,131
"1566",102863,"2004",NA,NA
"1567",102863,"1998",NA,NA
"1568",102863,"1995",71,17
"1569",102863,"2008",NA,NA
"1570",102863,"1995",NA,NA
"1571",102863,"2009",34,7
"1572",102863,"2006",148,35
"1575",102864,"2003",57,16
"1580",102869,"1996",709,173
"1601",102880,"2003",414,93
"1603",102880,"1999",36,11
"1607",102880,"2000",553,181
"1610",102880,"1999",NA,NA
"1611",102880,"2005",261,75
"1630",102882,"1994",52,19
"1646",102882,"2003",NA,NA
"1657",102886,"2006",60,25
"1659",102887,"2000",28,6
"1662",102887,"2003",268,63
"1669",102887,"1996",NA,NA
"1672",102887,"2003",NA,NA
"1677",102887,"2006",347,72
"1687",102904,"2000",96,31
"1692",102905,"2010",241,72
"1696",102905,"1996",59,18
"1702",102905,"1998",NA,NA
"1705",102905,"2006",NA,NA
"1707",102905,"2004",NA,NA
"1708",102905,"2003",NA,NA
