"player_id","year","matches_won","total_matches"
102148,"1992",28,51
102148,"1990",17,34
102148,"1999",37,62
102148,"2007",25,45
102148,"1994",24,42
102148,"2003",15,37
102148,"1991",27,48
102148,"1995",16,41
102148,"2008",17,33
102148,"1989",3,9
102148,"2004",18,34
102148,"2002",28,53
102179,"2000",4,17
102179,"1996",1,2
102179,"2001",12,33
102179,"2004",17,38
102179,"2002",15,38
102179,"1999",9,19
102179,"2005",7,21
102179,"2007",4,6
102179,"2003",15,36
102179,"2006",2,4
102202,"2002",18,32
102202,"1996",20,47
102202,"2007",1,3
102202,"1999",23,43
102202,"1992",14,22
102202,"2006",15,33
102202,"1997",26,53
102202,"1995",28,51
102202,"2001",10,18
102202,"1993",19,48
102202,"1994",22,45
102202,"2003",19,40
102202,"1998",23,48
102202,"2004",15,34
102202,"2005",17,42
102227,"2000",15,41
102227,"1999",21,44
102227,"1993",1,2
102227,"1998",18,43
102227,"2002",15,34
102227,"2001",17,38
102227,"1995",2,4
102227,"1996",4,10
102227,"2005",3,12
102227,"2003",26,51
102227,"2006",0,2
102227,"2004",17,44
102227,"1997",18,41
102231,"2000",20,30
102231,"1998",11,29
102231,"2006",2,5
102231,"2005",4,21
102231,"2003",0,3
102231,"2002",4,13
102231,"1995",0,1
102231,"2004",6,13
102231,"1999",2,12
102231,"2001",20,50
102231,"1994",0,1
102233,"1999",6,16
102233,"2008",0,1
102233,"1995",9,18
102233,"1993",4,10
102233,"2001",5,8
102233,"1996",14,29
102233,"1991",6,11
102233,"1997",15,34
102233,"2004",3,4
102233,"2000",7,13
102233,"2003",4,4
102233,"1990",0,1
102233,"1994",4,9
102233,"2007",1,1
102233,"1992",4,5
102233,"2005",1,2
102233,"1998",13,25
102233,"2002",4,6
102233,"2006",1,1
102254,"1996",0,2
102254,"2009",0,1
102254,"2008",0,1
102257,"1996",42,68
102257,"1995",36,61
102257,"2006",8,24
102257,"1994",21,50
102257,"2003",11,21
102257,"1999",49,75
102257,"1992",2,4
102257,"2005",29,51
102257,"2002",31,48
102257,"1997",54,78
102257,"2001",41,66
102257,"1998",53,75
102257,"1993",16,25
102257,"2000",19,40
102257,"2004",26,42
102267,"2006",0,2
102267,"2003",1,2
102267,"1994",0,1
102267,"2005",0,1
102269,"2002",0,1
102269,"2005",1,5
102269,"2006",1,3
102269,"1997",4,12
102269,"2001",1,3
102269,"1996",1,3
102269,"2003",3,7
102269,"1995",0,2
102269,"2000",1,4
102269,"1998",0,3
102269,"2004",4,14
102271,"1999",31,58
102271,"2005",0,2
102271,"1995",3,9
102271,"2003",23,43
102271,"2004",15,34
102271,"2000",32,59
102271,"1997",26,53
102271,"1996",17,35
102271,"1998",25,53
102271,"2002",12,36
102271,"1993",0,1
102271,"2001",34,60
102271,"1994",3,4
102282,"1994",0,1
102282,"2006",0,1
102282,"1998",0,1
102286,"1999",10,27
102286,"2001",7,18
102286,"1992",2,3
102286,"1994",4,8
102286,"2003",3,9
102286,"2000",9,20
102286,"1993",2,5
102286,"1997",9,16
102286,"2004",3,4
102286,"1995",5,12
102286,"2002",3,6
102286,"1996",5,11
102286,"2005",1,1
102286,"1998",18,45
102287,"2000",22,45
102287,"1995",4,7
102287,"2001",32,61
102287,"2003",9,28
102287,"1993",0,1
