"player_id","year","double_fault","service_points"
104332,"2005",NA,NA
104332,"2004",5,141
104460,"2013",22,628
104460,"2011",48,1175
104460,"2015",NA,NA
104460,"2003",NA,NA
104460,"2017",145,2222
104460,"2018",NA,NA
104460,"2016",104,2130
104460,"2019",17,312
104460,"2014",119,2143
104460,"2010",68,1331
104460,"2021",NA,NA
104460,"2012",40,912
104515,"2008",15,230
104515,"2007",21,469
104515,"2009",9,149
104515,"2006",13,201
104547,"2016",61,1523
104547,"2009",27,886
104547,"2012",33,973
104547,"2015",17,434
104547,"2014",29,1122
104547,"2018",73,2211
104547,"2017",92,3386
104547,"2013",NA,NA
104547,"2011",30,895
104547,"2010",NA,NA
104548,"2012",80,2127
104548,"2004",47,618
104548,"2002",NA,NA
104548,"2016",63,1109
104548,"2005",21,481
104548,"2013",26,605
104548,"2003",NA,NA
104593,"2012",50,1547
104593,"2015",85,2390
104593,"2016",75,1443
104593,"2009",83,2248
104593,"2011",94,2515
104593,"2018",NA,NA
104593,"2005",NA,NA
104593,"2014",72,2276
104593,"2006",11,470
104593,"2010",124,3126
104593,"2004",NA,NA
104593,"2013",146,3291
104593,"2017",NA,NA
104593,"2008",24,941
104628,"2014",7,229
104628,"2013",1,116
104628,"2010",NA,NA
104628,"2016",NA,NA
104628,"2012",NA,NA
104628,"2011",1,109
104628,"2015",NA,NA
104628,"2007",4,185
104628,"2008",19,425
104629,"2015",16,451
104629,"2012",NA,NA
104629,"2018",12,517
104629,"2013",NA,NA
104629,"2019",11,274
104629,"2017",10,484
104633,"2011",6,165
104651,"2014",8,258
104651,"2013",30,1222
104665,"2014",NA,NA
104665,"2018",37,1080
104665,"2023",NA,NA
104665,"2016",20,630
104665,"2019",NA,NA
104665,"2008",29,786
104665,"2015",NA,NA
104665,"2020",60,1214
104665,"2021",NA,NA
104665,"2012",232,3891
104665,"2013",169,3802
104665,"2007",13,395
104665,"2009",45,982
104665,"2011",140,3693
104665,"2010",42,1246
104665,"2022",95,1692
104672,"2018",6,135
104672,"2009",NA,NA
104672,"2011",NA,NA
104672,"2016",16,538
104672,"2017",30,679
104672,"2014",19,317
104672,"2012",7,125
104672,"2015",NA,NA
104714,"2012",6,172
104714,"2010",20,994
104714,"2006",NA,NA
104714,"2015",4,219
104714,"2011",25,727
104714,"2007",NA,NA
104714,"2013",33,944
104714,"2014",42,952
104717,"2004",NA,NA
104717,"2005",NA,NA
104717,"2009",10,591
104717,"2010",23,316
104717,"2008",21,547
104719,"2007",7,289
104719,"2006",NA,NA
104719,"2008",122,2605
104719,"2017",37,1598
104719,"2014",102,3504
104719,"2015",72,2513
104719,"2019",40,1363
104719,"2011",92,3582
104719,"2016",NA,NA
104719,"2018",41,678
104719,"2013",NA,NA
104719,"2010",110,3269
104719,"2009",112,3230
104719,"2012",NA,NA
104721,"2010",33,664
104721,"2013",NA,NA
104721,"2009",34,876
104721,"2008",10,478
104731,"2016",167,3002
104731,"2009",25,602
104731,"2012",NA,NA
104731,"2022",17,489
104731,"2015",238,5745
104731,"2007",NA,NA
104731,"2013",182,4801
104731,"2014",NA,NA
104731,"2018",NA,NA
104731,"2020",71,1685
104731,"2019",29,1002
104731,"2008",NA,NA
104731,"2017",147,4368
104731,"2011",NA,NA
104731,"2010",103,2571
104731,"2021",74,2174
104731,"2023",16,284
104735,"2013",NA,NA
104735,"2010",50,1176
104735,"2008",NA,NA
104735,"2019",NA,NA
104735,"2016",31,715
104735,"2007",NA,NA
104735,"2017",14,316
104735,"2011",134,2800
104735,"2014",NA,NA
104735,"2015",15,497
104735,"2012",113,1947
104812,"2009",9,159
104812,"2005",40,610
104812,"2007",22,396
104812,"2008",NA,NA
104812,"2006",20,401
104812,"2004",NA,NA
104851,"2013",NA,NA
104851,"2006",2,58
104851,"2008",19,606
104851,"2011",7,158
104851,"2005",NA,NA
104871,"2017",NA,NA
104871,"2012",187,3465
104871,"2019",200,4394
104871,"2023",41,443
104871,"2016",195,2993
104871,"2013",252,4251
104871,"2015",233,4426
104871,"2008",98,1880
104871,"2020",40,661
104871,"2010",190,4105
104871,"2006",22,335
104871,"2007",NA,NA
104871,"2009",NA,NA
104871,"2014",229,4542
104871,"2011",NA,NA
104871,"2018",220,4080
104871,"2021",NA,NA
104897,"2015",25,534
104897,"2007",5,213
104897,"2014",12,495
104897,"2013",21,501
104897,"2008",NA,NA
104897,"2021",NA,NA
104897,"2012",73,2203
104897,"2016",NA,NA
104897,"2018",11,709
104897,"2011",45,1085
104897,"2019",23,608
104897,"2010",8,233
104932,"2015",42,1169
104932,"2014",135,1946
104932,"2018",NA,NA
104932,"2016",10,538
104932,"2017",28,690
104932,"2013",NA,NA
104932,"2011",NA,NA
104932,"2012",22,386
104948,"2010",4,154
104976,"2011",167,2620
104976,"2009",57,724
104976,"2005",NA,NA
104976,"2007",29,495
104976,"2012",92,1469
104976,"2013",NA,NA
104976,"2006",12,315
104976,"2008",11,281
104976,"2010",51,1076
104978,"2010",85,2323
104978,"2007",4,145
104978,"2011",45,1176
104978,"2017",26,412
104978,"2019",6,154
104978,"2015",10,180
