"","player_id","year","matches_won","total_matches"
"495",102035,"1996",27,53
"496",102035,"2005",20,41
"497",102042,"1994",0,1
"498",102053,"2000",1,2
"499",102053,"1999",0,3
"500",102053,"1996",3,7
"501",102053,"1998",10,20
"502",102053,"1992",2,6
"503",102053,"1994",3,7
"504",102053,"1997",3,7
"505",102053,"1993",3,8
"506",102053,"1995",2,5
"507",102061,"1996",0,1
"508",102061,"2000",3,10
"509",102061,"1993",2,4
"510",102061,"1994",0,6
"511",102061,"2001",1,2
"512",102061,"2004",0,1
"513",102061,"2003",1,2
"514",102061,"1999",7,11
"515",102061,"1995",1,2
"516",102061,"1997",4,11
"517",102061,"1992",2,4
"518",102061,"1998",0,1
"519",102076,"1999",1,4
"520",102076,"1995",0,1
"521",102076,"1994",0,2
"522",102076,"2000",2,3
"523",102076,"2004",2,2
"524",102076,"2001",1,3
"525",102076,"2003",0,1
"526",102076,"1998",0,4
"527",102076,"1996",0,1
"528",102076,"1997",3,7
"529",102076,"2002",1,4
"530",102093,"2024",2,3
"531",102106,"1995",0,3
"532",102106,"1997",5,16
"533",102106,"1998",33,63
"534",102106,"2000",18,41
"535",102106,"2002",24,46
"536",102106,"2001",10,37
"537",102106,"1999",10,35
"538",102106,"1994",0,2
"539",102106,"2003",18,41
"540",102106,"2007",5,13
"541",102106,"2005",25,50
"542",102106,"2006",11,36
"543",102106,"2004",11,31
"544",102107,"1997",4,4
"545",102107,"2004",4,6
"546",102107,"2000",2,4
"547",102107,"2006",2,2
"548",102107,"2005",3,4
"549",102107,"2002",3,5
"550",102107,"1998",1,4
"551",102107,"1996",1,2
"552",102107,"1999",2,5
"553",102107,"2003",1,6
"554",102107,"2001",4,7
"555",102110,"2002",2,4
"556",102110,"1991",1,3
"557",102110,"2006",0,1
"558",102110,"1996",11,26
"559",102110,"1993",2,7
"560",102110,"2001",3,9
"561",102110,"2005",0,1
"562",102110,"1994",8,16
"563",102110,"2004",0,1
"564",102110,"1992",2,8
"565",102110,"1998",12,31
"566",102110,"2000",8,17
"567",102110,"1995",4,10
"568",102110,"2003",3,4
"569",102110,"1999",18,35
"570",102110,"1997",12,31
"571",102110,"1989",0,1
"572",102143,"2005",1,3
"573",102143,"2006",0,2
"574",102143,"1997",0,2
"575",102143,"2003",6,10
"576",102143,"2000",2,4
"577",102143,"2004",1,5
"578",102143,"2002",2,6
"579",102143,"2001",2,7
"580",102148,"1991",27,48
"581",102148,"1998",29,57
"582",102148,"2009",15,35
"583",102148,"2006",19,42
"584",102148,"2010",0,1
"585",102148,"1999",37,62
"586",102148,"2001",38,66
"587",102148,"1990",17,34
"588",102148,"2000",34,61
"589",102148,"1995",16,41
"590",102148,"2004",18,34
"591",102148,"1993",24,52
"592",102148,"2003",15,37
"593",102148,"2005",18,37
"594",102148,"1992",28,51
"595",102148,"1994",24,42
"596",102148,"2008",17,33
"597",102148,"1996",6,18
"598",102148,"2007",25,45
"599",102148,"1989",3,9
"600",102148,"1997",32,56
"601",102148,"2002",28,53
"602",102158,"1991",0,1
"603",102158,"1999",38,55
"604",102158,"1996",26,47
"605",102158,"2000",34,53
"606",102158,"1992",0,3
"607",102158,"1997",65,93
"608",102158,"1995",32,57
"609",102158,"1994",45,73
"610",102158,"1993",11,22
"611",102158,"1998",60,81
"612",102158,"2001",48,66
"613",102179,"2005",7,21
"614",102179,"2007",4,6
"615",102179,"2001",12,33
"616",102179,"2003",15,36
"617",102179,"2002",15,38
"618",102179,"1999",9,19
"619",102179,"2000",4,17
"620",102179,"1996",1,2
"621",102179,"2004",17,38
"622",102179,"2006",2,4
"623",102202,"1994",22,45
"624",102202,"1995",28,51
"625",102202,"1997",26,53
"626",102202,"2001",10,18
"627",102202,"1998",23,48
"628",102202,"2006",15,33
"629",102202,"1996",20,47
"630",102202,"1992",14,22
"631",102202,"1993",19,48
"632",102202,"2004",15,34
"633",102202,"2003",19,40
"634",102202,"2005",17,42
"635",102202,"1999",23,43
"636",102202,"2002",18,32
"637",102202,"2007",1,3
"638",102227,"2004",17,44
"639",102227,"1997",18,41
"640",102227,"2002",15,34
"641",102227,"1995",2,4
"642",102227,"2006",0,2
"643",102227,"2001",17,38
"644",102227,"1999",21,44
"645",102227,"1993",1,2
"646",102227,"1996",4,10
"647",102227,"1998",18,43
"648",102227,"2005",3,12
"649",102227,"2000",15,41
"650",102227,"2003",26,51
"651",102231,"1995",0,1
"652",102231,"1994",0,1
"653",102231,"2006",2,5
"654",102231,"1998",11,29
"655",102231,"2002",4,13
"656",102231,"2004",6,13
"657",102231,"2005",4,21
"658",102231,"2001",20,50
"659",102231,"1999",2,12
"660",102231,"2003",0,3
"661",102231,"2000",20,30
"662",102233,"2006",1,1
"663",102233,"2008",0,1
"664",102233,"2002",4,6
"665",102233,"1998",13,25
"666",102233,"2003",4,4
"667",102233,"1996",14,29
"668",102233,"2005",1,2
"669",102233,"1999",6,16
"670",102233,"2000",7,13
"671",102233,"1991",6,11
"672",102233,"1990",0,1
"673",102233,"1997",15,34
"674",102233,"2007",1,1
"675",102233,"2004",3,4
"676",102233,"2001",5,8
"677",102233,"1994",4,9
"678",102233,"1992",4,5
"679",102233,"1995",9,18
"680",102233,"1993",4,10
"681",102251,"1998",1,4
"682",102251,"2001",0,1
"683",102251,"2000",2,4
"684",102251,"1999",1,2
"685",102254,"2008",0,1
"686",102254,"2009",0,1
"687",102254,"1996",0,2
"688",102257,"1999",49,75
"689",102257,"1998",53,75
"690",102257,"1997",54,78
"691",102257,"2003",11,21
"692",102257,"2001",41,66
"693",102257,"2004",26,42
"694",102257,"1995",36,61
"695",102257,"2002",31,48
"696",102257,"1994",21,50
"697",102257,"1993",16,25
"698",102257,"1996",42,68
"699",102257,"2005",29,51
"700",102257,"2006",8,24
"701",102257,"2000",19,40
"702",102257,"1992",2,4
"703",102267,"2005",0,1
"704",102267,"2003",1,2
"705",102267,"2006",0,2
"706",102267,"1994",0,1
"707",102269,"2003",3,7
"708",102269,"2006",1,3
"709",102269,"2005",1,5
"710",102269,"1995",0,2
"711",102269,"2002",0,1
"712",102269,"1996",1,3
"713",102269,"2001",1,3
"714",102269,"2004",4,14
"715",102269,"1998",0,3
"716",102269,"1997",4,12
"717",102269,"2000",1,4
"718",102271,"2004",15,34
"719",102271,"1998",25,53
"720",102271,"1993",0,1
"721",102271,"2000",32,59
"722",102271,"1996",17,35
"723",102271,"2003",23,43
"724",102271,"2002",12,36
"725",102271,"1997",26,53
"726",102271,"1994",3,4
"727",102271,"1999",31,58
"728",102271,"1995",3,9
"729",102271,"2001",34,60
"730",102271,"2005",0,2
"731",102282,"1994",0,1
"732",102282,"1998",0,1
"733",102282,"2006",0,1
"734",102286,"2000",9,20
"735",102286,"1998",18,45
"736",102286,"1997",9,16
"737",102286,"1994",4,8
"738",102286,"1995",5,12
"739",102286,"2003",3,9
"740",102286,"2005",1,1
"741",102286,"1993",2,5
"742",102286,"1992",2,3
"743",102286,"2004",3,4
"744",102286,"1999",10,27
"745",102286,"2002",3,6
"746",102286,"1996",5,11
"747",102286,"2001",7,18
"748",102287,"1993",0,1
"749",102287,"2002",10,33
