"","player_id","name_first","name_last","hand","dob","ioc","height"
"15765",104140,"Dawid","Olejniczak","R",19830301,"POL",NA
"15768",104146,"Jonathan","Chu","R",19830321,"USA",NA
"15771",104149,"Adrian","Cruciat","R",19830331,"ROU",185
"15772",104154,"Paul","Capdeville","R",19830402,"CHI",190
"15819",104160,"Lukas","Dlouhy","R",19830409,"CZE",185
"15842",104162,"Deniss","Pavlovs","R",19830415,"LAT",NA
"15848",104166,"Alex","Bogomolov Jr","R",19830423,"RUS",178
"15902",104167,"Todd","Widom","R",19830424,"USA",NA
"15907",104171,"Richard","Bloomfield","R",19830427,"GBR",185
"15911",104173,"Sam","Warburg","R",19830429,"USA",190
"15916",104179,"Bruno","Echagaray","R",19830508,"MEX",183
"15920",104180,"Gilles","Muller","L",19830509,"LUX",193
"16129",104191,"Ismar","Gorcic","R",19830522,"BIH",NA
"16130",104195,"Simone","Vagnozzi","R",19830530,"ITA",173
"16133",104196,"Carlos","Cuadrado","R",19830601,"ESP",180
"16136",104198,"Guillermo","Garcia Lopez","R",19830604,"ESP",188
"16430",104200,"Juan Manuel","Elizondo","A",19830608,"MEX",180
"16432",104209,"Rainer","Eitzinger","R",19830628,"AUT",178
"16436",104210,"Ryan","Russell","L",19830706,"JAM",NA
"16442",104214,"Igor","Andreev","R",19830714,"RUS",185
"16647",104215,"Andrei","Gorban","U",19830719,"MDA",NA
"16648",104216,"Maximo","Gonzalez","R",19830720,"ARG",173
"16678",104217,"Simon","Stadler","L",19830720,"GER",183
"16684",104219,"Stephane","Bohli","R",19830725,"SUI",185
"16690",104224,"Travis","Rettenmaier","R",19830806,"USA",188
"16692",104225,"Jan","Hajek","R",19830807,"CZE",180
"16728",104226,"Bastian","Knittel","L",19830808,"GER",180
"16729",104227,"Augustin","Gensse","R",19830810,"FRA",180
"16730",104229,"Yen Hsun","Lu","R",19830814,"TPE",180
"16882",104230,"Daniel","Koellerer","R",19830817,"AUT",180
