"","player_id","name_first","name_last","hand","dob","ioc","height"
"26435",201518,"Yanina","Wickmayer","R",19891020,"BEL",182
"26682",201520,"Petra","Kvitova","L",19900308,"CZE",183
"27228",201521,"Carla","Suarez Navarro","R",19880903,"ESP",162
"27588",201522,"Jelena","Pandzic","R",19830317,"CRO",170
"27589",201523,"Marina","Erakovic","R",19880306,"NZL",174
"27709",201524,"Urszula","Radwanska","R",19901207,"POL",177
"27821",201525,"Eva","Hrdinova","R",19840615,"CZE",NA
"27822",201526,"Julie","Coin","R",19821202,"FRA",172
"27834",201527,"Stefanie","Voegele","R",19900310,"SUI",170
"27939",201528,"Melanie","Oudin","R",19910923,"USA",168
"27997",201529,"Kristie","Ahn","R",19920615,"USA",165
"28013",201531,"Mariana","Duque Marino","R",19890812,"COL",169
"28086",201532,"Anastasia","Pivovarova","R",19900616,"RUS",181
"28094",201533,"Shuai","Zhang","R",19890121,"CHN",177
"28312",201534,"Asia","Muhammad","R",19910404,"USA",178
"28316",201535,"Coco","Vandeweghe","R",19911206,"USA",185
"28462",201537,"Patricia","Mayr Achleitner","R",19861108,"AUT",169
"28520",201539,"Christina","Mchale","R",19920511,"USA",170
"28692",201540,"Kristina","Mladenovic","R",19930514,"FRA",184
"28915",201541,"Chanelle","Scheepers","R",19840313,"RSA",176
"29004",201542,"Olivia","Rogowska","R",19910607,"AUS",175
"29011",201545,"Anastasija","Sevastova","R",19900413,"LAT",169
"29229",201546,"Anna","Lapushchenkova","R",19861024,"RUS",172
"29236",201547,"Michelle","Larcher De Brito","R",19930129,"POR",165
"29282",201548,"Ajla","Tomljanovic","R",19930507,"AUS",180
"29454",201549,"Petra","Martic","R",19910119,"CRO",181
"29673",201551,"Arantxa","Rus","L",19901213,"NED",180
"29779",201553,"Lenka","Wienerova","R",19880423,"SVK",NA
"29781",201554,"Vitalia","Diatchenko","R",19900802,"RUS",170
"29794",201555,"Polona","Hercog","R",19910120,"SLO",182
"29971",201556,"Lucie","Hradecka","R",19850521,"CZE",177
"30064",201557,"Corinna","Dentoni","R",19890730,"ITA",NA
"30069",201559,"Irena","Pavlovic","R",19880928,"FRA",178
"30070",201561,"Claire","Feuerstein","L",19860228,"FRA",178
"30075",201562,"Silvia","Soler Espinosa","R",19871119,"ESP",169
"30135",201563,"Darya","Kustova","U",19860529,"BLR",NA
"30143",201565,"Katarzyna","Piter","R",19910216,"POL",173
"30155",201566,"Agnes","Szatmari","R",19870628,"ROU",NA
"30156",201567,"Alexandra","Dulgheru","R",19890530,"ROU",172
"30243",201568,"Kristina","Kucova","R",19900523,"SVK",163
"30284",201570,"Vesna","Dolonc","R",19890721,"SRB",170
"30308",201571,"Masa","Zec Peskiric","R",19870121,"SLO",NA
"30320",201572,"Regina","Kulikova","R",19890130,"RUS",183
"30331",201573,"Laura","Robson","L",19940121,"GBR",180
"30374",201574,"Neuza","Silva","R",19830504,"POR",170
"30384",201576,"Valerie","Tetreault","R",19880121,"CAN",170
"30390",201578,"Kai Chen","Chang","R",19910113,"TPE",167
"30431",201579,"Yurika","Sema","L",19861225,"JPN",168
"30433",201580,"Xinyun","Han","L",19900530,"CHN",172
"30455",201582,"Jing Jing","Lu","R",19890505,"CHN",170
"30460",201584,"Ksenia","Pervak","L",19910527,"KAZ",170
"30516",201585,"Sloane","Stephens","R",19930320,"USA",170
"30820",201586,"Heather","Watson","R",19920519,"GBR",170
"30986",201587,"Bojana","Jovanovski","R",19911231,"SRB",175
"31087",201588,"Anna","Tatishvili","R",19900203,"GEO",171
"31140",201589,"Sharon","Fichman","R",19901203,"CAN",163
"31156",201590,"Alison","Riske Amritraj","R",19900703,"USA",173
"31347",201591,"Margalita","Chakhnashvili","R",19821209,"GEO",172
"31359",201592,"Beatriz","Garcia Vidagany","U",19881117,"ESP",NA
"31366",201593,"Irina Camelia","Begu","R",19900826,"ROU",181
"31611",201594,"Simona","Halep","R",19910927,"ROU",168
"32080",201595,"Misaki","Doi","L",19910429,"JPN",159
"32186",201596,"Johanna","Larsson","R",19880817,"SWE",174
"32371",201597,"Kurumi","Nara","R",19911230,"JPN",155
"32464",201598,"Noppawan","Lertcheewakarn","R",19911118,"THA",167
"32475",201599,"Andrea","Hlavackova","R",19860810,"CZE",174
"32512",201600,"Jamie","Hampton","R",19900108,"USA",173
"32554",201602,"Beatrice","Capra","R",19920406,"USA",175
"32556",201603,"Shelby","Rogers","R",19921013,"USA",175
"32682",201604,"Irina","Falconi","R",19900504,"USA",163
"32724",201605,"Mandy","Minella","R",19851122,"LUX",180
"32800",201606,"Rebecca","Marino","R",19901216,"CAN",183
"32849",201607,"Sally","Peers","R",19910601,"AUS",162
"32851",201609,"Yi Miao","Zhou","R",19910207,"CHN",NA
"32856",201610,"Zarina","Diyas","R",19931018,"KAZ",172
"32969",201611,"Daria","Saville","R",19940305,"AUS",166
"33130",201612,"Junri","Namigata","R",19820705,"JPN",170
"33136",201613,"Arina","Rodionova","R",19891215,"AUS",168
"33153",201614,"Caroline","Garcia","R",19931016,"FRA",177
"33505",201615,"Lesia","Tsurenko","R",19890530,"UKR",174
"33697",201616,"Lauren","Davis","R",19931009,"USA",157
"33838",201617,"Ana","Vrljic","R",19840801,"CRO",NA
"33844",201618,"Fatma","Al Nabhani","R",19910520,"OMA",170
"33852",201619,"Madison","Keys","R",19950217,"USA",178
"34167",201620,"Monica","Puig","R",19930927,"PUR",170
"34328",201621,"Mona","Barthel","R",19900711,"GER",185
"34481",201622,"Iryna","Bremond","R",19841005,"FRA",NA
"34483",201631,"Nicha","Lertpitaksinchai","R",19910814,"THA",174
"34487",201632,"Ryoko","Fuda","R",19861025,"JPN",NA
"34489",201634,"Viky","Nunez Fuentes","U",19881014,"COL",NA
"34492",201635,"Betina","Jozami","R",19880908,"ARG",180
"34498",201637,"Melissa","Torres Sandoval","R",19840203,"MEX",NA
"34508",201638,"Estrella","Cabeza Candela","R",19870220,"ESP",173
"34534",201640,"Maria Teresa","Torro Flor","R",19920502,"ESP",173
"34566",201641,"Nadia","Lalami","R",19900428,"MAR",NA
"34577",201642,"Fatima","El Allami","L",19890326,"MAR",NA
"34589",201643,"Eva","Fernandez Brugues","R",19860505,"ESP",NA
"34590",201645,"Frederica","Piedade","U",19820605,"POR",NA
"34594",201646,"Maria Joao","Koehler","U",19921008,"POR",174
"34602",201648,"Naomi","Broady","R",19900228,"GBR",189
"34626",201651,"Michaela","Johansson","R",19880306,"SWE",NA
"34627",201652,"Ksenia","Palkina","R",19891213,"KGZ",174
"34635",201653,"Ellen","Allgurin","R",19940510,"SWE",NA
"34637",201656,"Tadeja","Majeric","R",19900831,"SLO",178
"34641",201657,"Nastja","Kolar","R",19940715,"SLO",176
"34642",201659,"Melanie","Klaffner","R",19900522,"AUT",171
"34649",201660,"Tereza","Hladikova","R",19880414,"CZE",NA
"34652",201662,"Karolina","Pliskova","R",19920321,"CZE",184
"35072",201663,"Ekaterina","Dzehalevich","R",19860503,"BLR",168
"35078",201664,"Pemra","Ozgen","R",19860508,"TUR",170
"35097",201665,"Ipek","Senoglu","R",19790608,"TUR",180
"35102",201666,"Cagla","Buyukakcay","R",19890928,"TUR",172
"35149",201667,"Ling","Zhang","R",19891028,"HKG",178
"35179",201668,"Alexandra","Panova","R",19890302,"RUS",179
"35211",201669,"Yan Chong","Chen","R",19870404,"CHN",NA
"35213",201670,"Amra","Sadikovic","R",19890506,"SUI",186
"35220",201672,"Nigina","Abduraimova","R",19940707,"UZB",184
"35236",201674,"Sabina","Sharipova","R",19940904,"UZB",174
"35256",201675,"So Jung","Kim","R",19860318,"KOR",NA
"35259",201676,"Ye Ra","Lee","R",19870914,"KOR",NA
"35269",201677,"Mi","Yoo","R",19860509,"KOR",NA
"35274",201678,"Sacha","Jones","R",19901108,"AUS",NA
"35282",201679,"Varatchaya","Wongteanchai","R",19890907,"THA",169
"35284",201680,"Anna","Gerasimou","R",19871015,"GRE",NA
"35298",201681,"Suchanun","Viratprasert","R",19830101,"THA",168
"35307",201682,"Nudnida","Luangnam","R",19870227,"THA",167
"35312",201683,"Bianca","Botto","L",19910606,"PER",178
"35328",201685,"Kristina","Antoniychuk","U",19900904,"UKR",170
"35329",201686,"Alejandra","Granillo","R",19910601,"MEX",NA
"35333",201687,"Lina","Bennani","R",19910704,"MAR",NA
"35334",201688,"Claire","De Gubernatis","L",19860718,"FRA",NA
"35335",201689,"Magali","De Lattre","R",19870614,"POR",NA
"35338",201690,"Nina","Bratchikova","R",19850628,"RUS",178
"35352",201691,"Dia","Evtimova","R",19870430,"BUL",168
"35363",201693,"Timea","Babos","R",19930510,"HUN",179
"35497",201694,"Silvia","Njiric","R",19930709,"CRO",163
"35498",201696,"Laura","Siegemund","R",19880304,"GER",168
"35625",201697,"Kristyna","Pliskova","L",19920321,"CZE",184
"35717",201698,"Liana Gabriela","Ungur","U",19850102,"ROU",NA
"35718",201700,"Nikola","Hofmanova","R",19910203,"AUT",178
"35719",201701,"Basak","Eraydin","R",19940621,"TUR",NA
"35724",201703,"Yi Fan","Xu","L",19880808,"CHN",165
"35726",201706,"Eirini","Georgatou","R",19900201,"GRE",NA
"35730",201707,"Sachie","Ishizu","R",19920903,"JPN",164
