"player_id","name_first","name_last","hand","dob","ioc","height","Rating","Deviation","Volatility"
103498,"Marat","Safin","R",19800127,"RUS",193,1843.95512418393,69.1625784482457,0.0603849791428294
103499,"Aqeel","Khan","R",19800130,"PAK",NA,1562.24887798783,159.457550201338,0.0599753377974778
103503,"Robin","Vik","R",19800205,"CZE",183,1608.00084857135,141.239306414724,0.0599896082158604
103504,"Febi","Widhiyanto","R",19800209,"INA",NA,1794.89688114403,166.470211668631,0.06001198934758
103505,"Vasilis","Mazarakis","R",19800209,"GRE",178,1546.55164871613,148.034432228847,0.0599842981233537
103506,"Martin","Vassallo Arguello","R",19800210,"ARG",183,1584.71479737228,77.3074413467723,0.0599084159754119
103507,"Juan Carlos","Ferrero","R",19800212,"ESP",183,1836.72624298482,90.5965718677086,0.0599750285265133
103510,"Rob","Steckley","R",19800216,"CAN",NA,1407.39327059534,189.620264451238,0.059996180526517
103514,"Young Jun","Kim","R",19800223,"KOR",NA,1564.60172514354,199.396089881926,0.0600179844507287
103516,"Nathan","Healey","R",19800227,"AUS",180,1615.3637609211,121.671350300426,0.0600056578080009
103521,"Andrea","Stoppini","R",19800229,"ITA",190,1697.10293618324,161.463408710094,0.0600187776733108
103523,"Rohan","Bopanna","R",19800304,"IND",193,1562.45184662317,195.350905957756,0.0599820948357638
103525,"Ivan","Miranda","R",19800308,"PER",175,1461.95162613587,145.375542000709,0.059991215827092
103529,"Aisam Ul Haq","Qureshi","R",19800317,"PAK",183,1516.72028340143,186.439832897999,0.0599704334797538
103530,"Zack","Fleishman","R",19800317,"USA",188,1634.16725345991,133.855002968975,0.060001604504884
103531,"Thomas","Oger","U",19800322,"MON",NA,1526.00097704015,239.456945844055,0.0600005644285963
103534,"Nicolas","Devilder","L",19800325,"FRA",173,1696.75396430336,148.539320330696,0.0599428910974765
103535,"Olivier","Patience","R",19800325,"FRA",180,1532.42902526561,134.708764994468,0.0599562612719361
103538,"James","Auckland","R",19800401,"GBR",NA,1813.09323220882,229.826339550431,0.0600007938757165
103543,"David","Marrero","R",19800408,"ESP",183,1456.93827157409,158.577121736036,0.0599902655501904
103544,"Andy","Ram","R",19800410,"ISR",180,1434.40692264201,217.110636066917,0.0599905580481683
103553,"Alun","Jones","R",19800426,"AUS",180,1664.07798494338,142.506990656406,0.0600033255426942
103559,"David","Sherwood","R",19800506,"GBR",193,1516.90477421623,196.884878278434,0.0600017321128687
103565,"Stephane","Robert","R",19800517,"FRA",185,1572.28657174522,133.655668906349,0.059950468589518
103566,"Michael","Llodra","L",19800518,"FRA",190,1763.69554015443,93.9388503380145,0.0601365199495185
103573,"Rik","De Voest","R",19800605,"RSA",180,1586.09375302569,119.233586418568,0.0599430175301478
103580,"Alexander","Peya","R",19800627,"AUT",183,1567.24838024963,153.717097269339,0.0599941156849878
103581,"Flavio","Saretta","R",19800628,"BRA",183,1715.15446265675,132.082731779996,0.0598561064261714
103582,"Michael","Berrer","L",19800701,"GER",193,1588.77606407337,91.2676117848761,0.0599941368435779
103586,"Mariusz","Fyrstenberg","L",19800708,"POL",193,1326.08461936935,208.446310517339,0.0599957769278045
103590,"Michael","Quintero","R",19800711,"COL",NA,1683.53525188991,184.367461025092,0.0600017225845188
103592,"Jerome","Haehnel","R",19800714,"FRA",185,1556.83434856019,166.607451997368,0.059995712847595
103594,"Oliver","Marach","R",19800716,"AUT",185,1584.56356930685,185.776477127524,0.0599837730364013
